,Date,User,Tweet
57,2022-11-14 15:54:48+00:00,MTL_Stardust,Intersteller https://t.co/hAldA2sI1G
58,2022-11-14 14:40:14+00:00,kaoru96394972,"@SAAYworld Intersteller
Talk 2 Me Nice
Mind ur business
ROCKY"
59,2022-11-14 14:19:32+00:00,InterstellerBOT,「この世界も悪くない。トムはやっていける。お前はそうじゃない。生まれるのが40年遅かった。いや40年早かった。娘はきっとそれをわかっていた。子供たちも気づいてる。特にマーフはな」
60,2022-11-14 13:39:31+00:00,Mostafa__8,بما ان تويتر مفيهوش حوار الميوزك على الصورة زي إنستجرام فتخيلوا تراك intersteller في الباك جرواند
61,2022-11-14 13:19:25+00:00,InterstellerBOT,"「燃料は」
「足りない。だが考えがある。ガルガンチュアの地平線まで引き寄せられたら重力ターンで脱出。エドマンズの星まで一直線だ」
「手動でやるの？」
「そのために俺がいる。軌道のギリギリのところでターンする」
「時間のずれは」
「相対性理論のことを気にしてる場合じゃないよ。博士」"
62,2022-11-14 12:55:43+00:00,itsAntaheen_,@exoiumin0526 @aeriyaphixoexo I died when sehun said intersteller😂😂😂
63,2022-11-14 12:19:27+00:00,InterstellerBOT,「ユリイカ！！」
64,2022-11-14 11:19:31+00:00,InterstellerBOT,"「着陸ポッドの設備で2年間は生命を維持できる。さらに冬眠カプセルを使えば探査期間を十年程度は延長できる。彼らはそれぞれの星が居住可能か精査して、可能なら信号を送り、冬眠カプセルに入る。そして救助を待つ」
「そこが約束の地じゃなかったら？」
「覚悟の上だ」"
65,2022-11-14 10:19:25+00:00,InterstellerBOT,"「メッセージを解読した。一言よ。何だと思う？ ""ステイ"" ここにいろって言ってるのよパパ」"
66,2022-11-14 09:19:24+00:00,InterstellerBOT,"「父を知っているのよね。ここはNASAよ」
「NASA？」
「NASAだ。君が昔パイロットをしていた」"
67,2022-11-14 08:19:32+00:00,InterstellerBOT,"「ミラーに何があった」
「シャトルの残骸から見て、大波がもろに直撃したんだと思う」
「あの残骸は何年も流されなかったのか」
「時間のズレがあるからよ。この星の時間では、彼女が到着したのは数時間前。おそらく死んだのは数分前…」
「最初の状況報告を繰り返し受信してたんだ」"
68,2022-11-14 07:46:59+00:00,AafanLone,@iShaheenAfridi Love u jiger mera
69,2022-11-14 07:19:26+00:00,InterstellerBOT,「野球にポップコーンなんか合わない。ホットドッグだろ」
70,2022-11-14 06:19:27+00:00,InterstellerBOT,"「息が詰まりそうだ。これだよこれ、この薄っぺらいアルミの壁があるから、真空の宇宙にいてもすぐ死ぬことはないけど」
「世界的なヨットマンも、中には泳ぎ方さえ知らないものもいるそうだ。金槌だ。海に落ちたら溺れて死ぬ。俺たちは探検家だ。船を信頼しろ」"
71,2022-11-14 05:19:31+00:00,InterstellerBOT,「これもう誰も聞いていないんだろ。誰にも届かないメッセージが、宇宙で暗闇を漂って。女房のロイスに言われたよ。父さんのことは諦めたほうがいいって。だからその、もう、父さんのこと諦めるよ。どこにいるのか分からないけど、安らかであることを願っている。さよなら」
72,2022-11-14 04:19:27+00:00,InterstellerBOT,"「あのリベットは人を殺す弾丸になっていたかもしれん。人を救うために使われてよかった。私がくたばる前に重力の方程式を解けるかどうかはともかくな」
「変なこと言わないでください」
「死は怖くない。私は物理学者だ。恐れているのは時間だ」"
73,2022-11-14 03:19:27+00:00,InterstellerBOT,"「愛なら私たちでも感知できる。そして愛は時間も空間も超えることができる。だからたとえ理解できなくても、愛を信じていいと思う」
#インターステラー"
74,2022-11-14 02:19:30+00:00,InterstellerBOT,"「ここ全体が人工重力環境なのか。ということは…宇宙ステーション」
「これがプランAだ」"
75,2022-11-14 01:48:11+00:00,philautia_store,@ScreenMix Intersteller😭
76,2022-11-14 01:19:24+00:00,InterstellerBOT,「どうやら人類は忘れてしまったらしい。探検家や開拓者が何が橋渡し役だ」
77,2022-11-14 00:19:27+00:00,InterstellerBOT,"「どう育てる？」
「最初に十個の受精卵を人工培養する。その後は代理出産で人口は急増する。で30年以内に数百人のコロニーになる。通常コロニーは遺伝的多様性に欠けるけどこれなら問題ない」
「じゃあ今地球にいる人間は？見捨てるのか？俺の子供たちは」
「だからプランAの成功を願っている」"
78,2022-11-14 00:05:58+00:00,itzrealsky,"@stuutirai The dark knight, Intersteller"
79,2022-11-13 23:19:30+00:00,InterstellerBOT,"「学校で聞いたが農場を継ぐのか？俺も賛成だ」
「本気で言ってるの？」
「パパは農業嫌いだって、おじいちゃんが」
「そんなこと言ったのか。いいか大事なのはお前の気持ちだ」
「僕は父さんの仕事も農場も好きだよ」
「お前ならやれる」"
80,2022-11-13 21:13:41+00:00,bazakel,"@Orwell_Future @chetbrier @bales1181 @midgetmoxie @VaderJaws @fredforthemets @FunMovieTVFan @filmizon @krazykeithrules @ithrah69 @FilmsQuirky You can never get the balance right because what you and I find exciting others find boring. All you can do is get the science right. The films hire scientific advisors. Why the nonsense? Gravity, The Martian, Intersteller, Astra all nonsense. Only Arrival ok."
81,2022-11-13 20:24:23+00:00,AafanLone,@rupesh1322 @TheRajivAdatia Maro mujhe
82,2022-11-13 20:01:45+00:00,AafanLone,@va_nshbaba https://t.co/iCmLKFAlSY
83,2022-11-13 16:26:45+00:00,yokiproxxyy,"@pushkar_1713 1-whiplash
2-parasite
3-stalker
4-intersteller
5-inception 
6-memento
7-prisoner
8-lord of the rings
9-se7en
10-gone girl https://t.co/449O91Cp29"
84,2022-11-13 15:52:45+00:00,Interstellerjay,@CRYPTIDKILL New Eixoc is my favorite state :))
85,2022-11-13 15:06:45+00:00,GAS55042704,@ScreenMix اظن قصدكم فيلم Intersteller
86,2022-11-13 14:29:49+00:00,AafanLone,@hardikpandya7 Against u
87,2022-11-13 14:19:31+00:00,InterstellerBOT,"「この本を他の生徒に見せたんです。月着陸のページを」
「ああ俺が昔使ってた教科書だ。あの子は宇宙の絵が好きで」
「それは古い教科書で、今は改訂版を使っています」
「改訂版？」
「アポロ計画はソ連を破産させるために捏造されたものです」"
88,2022-11-13 13:19:25+00:00,InterstellerBOT,"「CASE、お前は無口だな」
「TARSが二人分話してるから」"
89,2022-11-13 12:58:02+00:00,AafanLone,"#PAKvENG | #EngvsPakFinal  #IKMKBForever
#BabarAzam𓃵 #Rizwan
Eng won T20 world cup but Pakistan cricketers won hearts of million cricket fans"
90,2022-11-13 12:35:43+00:00,AafanLone,"#PKMKBForever | #PAKvENG | #EngvsPakFinal  #IKMKBForever
#BabarAzam𓃵 #Rizwan 
INDIAN FANS CHUP RAHO YEH DO BADI TEAMS KA AAPS KA MAMLA HAI."
91,2022-11-13 12:24:33+00:00,AafanLone,@thetanmay Motu tumhe khud khuch nahi aata
92,2022-11-13 12:19:27+00:00,InterstellerBOT,"「全国テストのトムの結果だ。優秀な農業家になりそうだ」
「大学はどうだ」
「入れるのはほんの一握りだけだ。大学も経営難で」
「俺はちゃんと税金を払っている。軍隊もないのにどこに使われている」
「まあ少なくとも大学ではない」"
93,2022-11-13 11:26:01+00:00,AbozeadNoha,intersteller https://t.co/qIxVe5afSw
94,2022-11-13 11:19:32+00:00,InterstellerBOT,"「愛なら私たちでも感知できる。そして愛は時間も空間も超えることができる。だからたとえ理解できなくても、愛を信じていいと思う」
#インターステラー"
95,2022-11-13 10:19:27+00:00,InterstellerBOT,「まだわからないのか。彼らじゃないんだ。俺たちだ。俺がマーフにしたことと、これは同じだ」
96,2022-11-13 09:19:24+00:00,InterstellerBOT,"「トムは大丈夫だ。マーフにはちゃんと話をしろ」
「分かってる」
「いいか、守れない約束はするなよ」"
97,2022-11-13 08:37:13+00:00,thamu762,"Titanic,pirates of the Caribbean all parts,intersteller,predestination,inception https://t.co/4F9dSiXiK5"
98,2022-11-13 08:19:33+00:00,InterstellerBOT,「この星は期待できる。ただし非常に寒くて荒涼としている。見ての通りとても美しい。寒い昼が67時間続く。夜も67時間続きさらに寒い」
99,2022-11-13 07:40:03+00:00,Mykindascene,"Saturday night at the movies.

INTERSTELLER 👨🏻‍🌾👩🏻‍🚀🧑🏻‍🚀🪐🛸✨💫☄️🌌🔭

Not just a topical space movie… by any stretch of the imagination. 💭 🖤🤍💓this movie . 🎥 🍿  https://t.co/Vhe8mKYXCD"
100,2022-11-13 07:19:27+00:00,InterstellerBOT,"「何言ってるのクーパー！？」
「運動の第三法則。何かを置いていかないと」
「二人とも生命を維持できるって言ったじゃない！」
「俺の正直レベルは90％だ」
#インターステラー"
101,2022-11-13 06:19:25+00:00,InterstellerBOT,"「レインジャー号？」
「汎用宇宙船エンデュランス号にドッキングできる最後のシャトル。これが最後の宇宙計画だ」
#インターステラー"
102,2022-11-13 05:54:22+00:00,PratikGanguly7,@PrimeVideoIN Intersteller
103,2022-11-13 05:19:29+00:00,InterstellerBOT,"「それで？どれくらい宇宙に？」
「何とも言えん。何年になるか」
「俺には子供がいるんです」
「だからこそ救ってやれ」"
104,2022-11-13 04:29:57+00:00,AafanLone,"PRIYANKA OWNS BB16
When archana was leaving Sajid Khan was hugging her and telling him don't worry I will meet you in elections.But while voting he was first person who was not supporting her and also telling Abdul u should not support her #badass"
105,2022-11-13 04:19:26+00:00,InterstellerBOT,「どうだ感じるか。生存本能を感じるか。私は感じたぞ。本能が我々を突き動かし我々を救うんだ。私は人類を救いたい。君らのためにも。すまないクーパー、最後を見届けてやれなくて。私には無理だ」
106,2022-11-13 03:19:25+00:00,InterstellerBOT,「子供たちを頼みます」
107,2022-11-13 02:19:30+00:00,InterstellerBOT,「高校の時、あなたに関する論文を書いたんです。宇宙からの帰還のことはよく知っています」
108,2022-11-13 01:19:24+00:00,InterstellerBOT,"「そのトラック使ってもいい？」
「もうお前のトラックだ。NASAが届けてくれるさ」"
109,2022-11-13 00:19:28+00:00,InterstellerBOT,"彼女は遠い宇宙で、みんなが来るのを待っている
たった一人で、そこは誰も知らない銀河
これから彼女は、長い長い眠りにつく
太陽の光が降り注ぐ、私たちの新しい星で
#インターステラー"
110,2022-11-12 23:19:30+00:00,InterstellerBOT,「どうやら人類は忘れてしまったらしい。探検家や開拓者が何が橋渡し役だ」
111,2022-11-12 22:34:11+00:00,tozzzziem,@AlicjaMiaa Filmie Intersteller jest o wątek o miłości i wyjaśnienie jej. https://t.co/tyQzg85Qax
112,2022-11-12 17:02:40+00:00,Pravsingh87,@PrimeVideoIN Intersteller…Inception..shutter Island..!!
113,2022-11-12 15:15:00+00:00,Pet_Elf,Tonight we’re watching Intersteller at 9PM GMT! Featuring Phil Dunphy! Come watch with us over on Discord 🍿 https://t.co/PuLzsOUvBf
114,2022-11-12 14:19:31+00:00,InterstellerBOT,「まだわからないのか。彼らじゃないんだ。俺たちだ。俺がマーフにしたことと、これは同じだ」
115,2022-11-12 14:05:04+00:00,kkrsharma45_6,@TansuYegen The Intersteller (2014) the music...i never dreamt it.
