tconst;Rating;Votes;Type;Year;Title;Adult;Minutes
tt0844993;4.7;13179;movie;2011;Hoodwinked 2: Hood vs. Evil;0;87
tt0762138;5.6;12143;movie;2013;Syrup;0;90
tt0783640;6.8;11923;movie;2019;The Last Full Measure;0;116
tt0790770;6.4;10137;movie;2015;Miles Ahead;0;100
tt0780548;6.4;10054;movie;2014;Kid Cannabis;0;110
tt0835418;4.9;8721;movie;2012;The Babymakers;0;95
tt0837156;6.1;8149;movie;2016;Pee-wee's Big Holiday;0;90
tt0829176;3.5;7796;movie;2012;Gallowwalkers;0;92
tt0910885;5.1;7081;movie;2014;A Merry Friggin' Christmas;0;88
tt0972544;6.5;6260;movie;2018;Back Roads;0;101
tt0768222;5.5;6097;movie;2013;Night of the Templar;0;101
tt0884726;5;6057;movie;2013;Legends of Oz: Dorothy's Return;0;88
tt0825283;3.6;4543;movie;2016;Maximum Ride;0;88
tt0920462;4.7;4516;movie;2020;Lost Girls and Love Hotels;0;97
tt0787442;7.1;4312;movie;2012;The Attack;0;102
tt0817545;5.2;4026;movie;2013;The Power of Few;0;96
tt0459748;6.7;3976;movie;2011;Generation P;0;112
tt0485061;6.3;3107;movie;2013;U Want Me 2 Kill Him?;0;92
tt0959306;4.8;3007;movie;2014;Reach Me;0;95
tt0850677;4.4;2982;movie;2012;Jack & Diane;0;105
tt0493076;5.4;2875;movie;2016;Nina;0;90
tt0780645;4.1;2693;movie;2011;War of the Dead;0;86
tt0906778;6.1;2185;movie;2011;Black Butterflies;0;100
tt0839742;7.1;2103;movie;2014;Bhopal: A Prayer for Rain;0;96
tt0790788;6.3;1940;movie;2012;The Yellow Wallpaper;0;115
tt0461336;5.9;1937;movie;2011;Private Pérez;0;105
tt0865560;5.1;1906;movie;2011;Now & Later;0;99
